chain,address,name,category,secondary_category,source,source_url,tier
ethereum,0x797d7ae72ebddcdea2a346c1834e04d1f8df102b,Roman Semenov,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x931546d9e66836abf687d2bc64b30407bac8c568,Roman Semenov,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xdcbeffbecce100cce9e4b153c4e15cb885643193,Roman Semenov,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xed6e0a7e4ac94d976eebfb82ccf777a3c6bad921,Roman Semenov,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x97b1043abd9e6fc31681635166d430a458d14f9c,Sang Man Kim,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xb6f5ec1a0a9cd1526536d3f0426c429529471f40,Sang Man Kim,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x1da5821544e25c636c1417ba96ade4cf6d2f9b5a,Secondeye Solution,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x72a5843cc08275c8171e582972aa4fda8c397b2a,Secondeye Solution,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x7db418b5d567a4e0e8c59ad71be1fce48f3e6107,Secondeye Solution,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x7f19720a857f834887fc9a7bc0a0fbe7fc7f8102,Secondeye Solution,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x6b69e2a7545c166417a80c61a77562052bffa9c5,Shps Shelbit,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xe05f529f5284d75624eba386cb716928c3b54a2a,Shps Shelbit,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x8d79c73daae8630c88de372ba8f57592fa987607,Siavash Kayvanpour,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x95584c303fcd48af5c6b9873015f2ad0ca84eae3,Song Guk Yun,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xb637f84b66876ebf609c2a4208905f9ddac9d075,Song Guk Yun,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x3cbded43efdaf0fc77b9c55f6fc9988fcc9b757d,Southfront,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x9f4cda013e354b8fc285bf4b9a60460cee7f7ea9,Southfront,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x19aa5fe80d33a56d56c78e82ea5e50e5d80b4dff,"Suex Otc, S.R.O.",sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x2f389ce8bd8ff92de3402ffce4691d17fc4f6535,"Suex Otc, S.R.O.",sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x308ed4b7b49797e1a98d3818bff6fe5385410370,"Suex Otc, S.R.O.",sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xe7aa314c77f4233c18c6cc84384a9247c0cf367b,"Suex Otc, S.R.O.",sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0x3ad9db589d201a710ed237c829c7860ba86510fc,Task Force Rusich,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
ethereum,0xc2a3829f459b3edd87791c74cd45402ba0a20be3,Task Force Rusich,sanctions,,OFAC SDN,https://sanctionslist.ofac.treas.gov/Home/SdnList,official
